
Processing printEntranceMomentumTest.C++...
EventNtuple v06_03_00
There are 15985 to go over. Printing momenta from trkseg and trksegmc and their differences.
Track Seg Momentum: 103.253   TrackMC Seg Momentum: 103.598  Resolution: -0.344948
Track Seg Momentum: 104.465   TrackMC Seg Momentum: 104.235  Resolution: 0.229828
Track Seg Momentum: 103.496   TrackMC Seg Momentum: 103.562  Resolution: -0.0663605
Track Seg Momentum: 104.115   TrackMC Seg Momentum: 104.193  Resolution: -0.0780487
Track Seg Momentum: 102.103   TrackMC Seg Momentum: 101.832  Resolution: 0.2705
Track Seg Momentum: 104.468   TrackMC Seg Momentum: 104.684  Resolution: -0.215904
Track Seg Momentum: 103.883   TrackMC Seg Momentum: 103.796  Resolution: 0.086853
Track Seg Momentum: 103.774   TrackMC Seg Momentum: 103.719  Resolution: 0.0547104
Track Seg Momentum: 104.633   TrackMC Seg Momentum: 104.778  Resolution: -0.144432
Track Seg Momentum: 104.332   TrackMC Seg Momentum: 104.177  Resolution: 0.155174
Track Seg Momentum: 99.587   TrackMC Seg Momentum: 99.6517  Resolution: -0.0646744
Track Seg Momentum: 103.492   TrackMC Seg Momentum: 103.524  Resolution: -0.0310898
Track Seg Momentum: 104.066   TrackMC Seg Momentum: 104.619  Resolution: -0.552979
Track Seg Momentum: 102.017   TrackMC Seg Momentum: 102.148  Resolution: -0.131531
Track Seg Momentum: 102.498   TrackMC Seg Momentum: 102.22  Resolution: 0.278152
Track Seg Momentum: 104.242   TrackMC Seg Momentum: 104.392  Resolution: -0.149849
Track Seg Momentum: 105.972   TrackMC Seg Momentum: 104.686  Resolution: 1.28601
Track Seg Momentum: 104.525   TrackMC Seg Momentum: 104.447  Resolution: 0.0785446
Track Seg Momentum: 99.5419   TrackMC Seg Momentum: 98.0972  Resolution: 1.44466
Track Seg Momentum: 104.656   TrackMC Seg Momentum: 104.748  Resolution: -0.0911331
Track Seg Momentum: 103.511   TrackMC Seg Momentum: 103.6  Resolution: -0.0888672
Track Seg Momentum: 107.631   TrackMC Seg Momentum: 103.056  Resolution: 4.57497
Track Seg Momentum: 102.962   TrackMC Seg Momentum: 102.858  Resolution: 0.104454
Track Seg Momentum: 103.392   TrackMC Seg Momentum: 103.323  Resolution: 0.0681534
Track Seg Momentum: 103.941   TrackMC Seg Momentum: 104.014  Resolution: -0.0735321
Track Seg Momentum: 104.348   TrackMC Seg Momentum: 104.541  Resolution: -0.193329
Track Seg Momentum: 103.368   TrackMC Seg Momentum: 103.456  Resolution: -0.0879669
Track Seg Momentum: 101.734   TrackMC Seg Momentum: 104.455  Resolution: -2.72162
Track Seg Momentum: 103.126   TrackMC Seg Momentum: 103.91  Resolution: -0.784134
Track Seg Momentum: 104.455   TrackMC Seg Momentum: 104.412  Resolution: 0.0432053
Track Seg Momentum: 103.742   TrackMC Seg Momentum: 103.782  Resolution: -0.0393677
Track Seg Momentum: 104.388   TrackMC Seg Momentum: 104.292  Resolution: 0.0958328
Track Seg Momentum: 104.322   TrackMC Seg Momentum: 104.448  Resolution: -0.125771
Track Seg Momentum: 103.123   TrackMC Seg Momentum: 102.805  Resolution: 0.31768
Track Seg Momentum: 103.136   TrackMC Seg Momentum: 102.945  Resolution: 0.191307
Track Seg Momentum: 104.516   TrackMC Seg Momentum: 104.24  Resolution: 0.275452
Track Seg Momentum: 102.284   TrackMC Seg Momentum: 102.082  Resolution: 0.202225
Track Seg Momentum: 104.101   TrackMC Seg Momentum: 104.711  Resolution: -0.609917
